transaction_id,timestamp,store_id,city,country,store_type,product_category,product_name,unit_price,quantity,discount_applied,payment_method,customer_id,customer_age_group,customer_gender,loyalty_member,weather_condition,temperature_c,holiday_name,total_amount
10001,01-01-2023 00:39,35,Melbourne,AUS,Mall Kiosk,Coffee,Double Espresso,3.04,1,TRUE,Credit Card,qiyfrwsk,35-44,Female,FALSE,Sunny,22.2,New Year's Day,2.74
10002,01-01-2023 01:06,25,Manchester,UK,Standalone,Coffee,Single Espresso,2.38,2,FALSE,Debit Card,vf0jqqnv,18-24,Male,FALSE,Sunny,8.7,New Year's Day,4.76
10003,01-01-2023 02:56,23,Manchester,UK,Standalone,Tea,Large Matcha Latte,4.26,2,FALSE,Mobile Wallet,fcd6mzsg,25-34,Male,FALSE,Sunny,8.7,New Year's Day,8.52
10004,01-01-2023 02:58,38,Toronto,CAN,Standalone,Coffee,Medium Cappuccino,3.68,2,FALSE,Credit Card,jvu2cgxu,55-64,Female,TRUE,Cloudy,-6.5,New Year's Day,7.36
10005,01-01-2023 03:13,9,Los Angeles,USA,Mall Kiosk,Coffee,Small Cappuccino,3.42,1,FALSE,Mobile Wallet,po4ljedg,18-24,Male,TRUE,Sunny,12.3,New Year's Day,3.42
10006,01-01-2023 03:23,42,Vancouver,CAN,Standalone,Tea,Large Green Tea,3.01,1,FALSE,Cash,2eclces1,25-34,Female,FALSE,Sunny,2.8,New Year's Day,3.01
10007,01-01-2023 03:42,12,Chicago,USA,Airport,Tea,Medium Earl Grey,3.32,1,FALSE,Cash,4es3aofc,65+,Male,TRUE,Sunny,-4.7,New Year's Day,3.32
10008,01-01-2023 04:04,21,Manchester,UK,Standalone,Coffee,Large Cappuccino,3.77,2,FALSE,Credit Card,c8nog85d,55-64,,FALSE,Sunny,8.7,New Year's Day,7.54
10009,01-01-2023 04:26,27,Sydney,AUS,Standalone,Tea,Large Matcha Latte,5.72,1,FALSE,Credit Card,pceo934t,,Female,FALSE,Cloudy,16.6,New Year's Day,5.72
10010,01-01-2023 05:41,7,Los Angeles,USA,Standalone,Coffee,Large Cappuccino,4.51,2,FALSE,Cash,idbx287g,35-44,Female,FALSE,Sunny,12.3,New Year's Day,9.02
10011,01-01-2023 06:02,40,Toronto,CAN,Standalone,Sandwich,Ham & Cheese Croissant,5.06,1,FALSE,Credit Card,yj38xrg2,25-34,Female,FALSE,Cloudy,-6.5,New Year's Day,5.06
10012,01-01-2023 06:16,1,New York,USA,Standalone,Coffee,Small Mocha,4.05,1,TRUE,Credit Card,g4gks6r6,18-24,Male,FALSE,Sunny,-1.1,New Year's Day,3.64
10013,01-01-2023 06:28,20,London,UK,Standalone,Sandwich,Ham & Cheese Croissant,4.67,2,FALSE,Credit Card,gnzs43c5,18-24,Male,FALSE,,,New Year's Day,9.34
10014,01-01-2023 06:31,28,Sydney,AUS,Mall Kiosk,Coffee,Large Mocha,5.55,2,FALSE,Cash,k2vmwwyz,45-54,Female,FALSE,Cloudy,16.6,New Year's Day,11.1
10015,01-01-2023 06:47,5,New York,USA,Standalone,Smoothie,Medium Berry Blast,5.5,1,FALSE,Cash,xlpu0dk0,25-34,Male,FALSE,Sunny,-1.1,New Year's Day,5.5
10016,01-01-2023 06:49,6,Los Angeles,USA,Standalone,Coffee,Medium Latte,3.92,1,FALSE,Credit Card,5zjaucyh,25-34,Male,TRUE,Sunny,12.3,New Year's Day,3.92
10017,01-01-2023 06:55,30,Sydney,AUS,Standalone,Coffee,Medium Latte,4.4,1,FALSE,Mobile Wallet,g3fye4hq,25-34,Male,FALSE,Cloudy,16.6,New Year's Day,4.4
10018,01-01-2023 06:57,43,Vancouver,CAN,Standalone,Pastry,Blueberry Muffin,2.82,1,FALSE,Debit Card,p35t54gy,25-34,Male,FALSE,Sunny,2.8,New Year's Day,2.82
10019,01-01-2023 07:05,27,Sydney,AUS,Standalone,Coffee,Double Espresso,3.19,1,FALSE,Credit Card,4ldimsyj,65+,Male,FALSE,Cloudy,16.6,New Year's Day,3.19
10020,01-01-2023 07:08,1,New York,USA,Standalone,Tea,Small Earl Grey,2.5,1,FALSE,Cash,0cv3tlcx,25-34,,FALSE,Sunny,-1.1,New Year's Day,2.5
10021,01-01-2023 07:17,4,New York,USA,Mall Kiosk,Sandwich,Ham & Cheese Croissant,5.33,1,FALSE,Cash,96mj9n6e,35-44,Female,FALSE,Sunny,-1.1,New Year's Day,5.33
10022,01-01-2023 07:23,18,London,UK,Mall Kiosk,Tea,Small Green Tea,2.06,1,FALSE,Credit Card,wgi8y042,55-64,Male,FALSE,Sunny,5.2,New Year's Day,2.06
10023,01-01-2023 07:26,18,London,UK,Mall Kiosk,Sandwich,Vegan Falafel Wrap,4.95,2,FALSE,Mobile Wallet,e9vifttd,65+,Female,FALSE,Sunny,5.2,New Year's Day,9.9
10024,01-01-2023 07:47,17,London,UK,Standalone,Merchandise,Tote Bag,12.75,2,FALSE,Credit Card,x7n89lta,25-34,Female,FALSE,Sunny,5.2,New Year's Day,25.5
10025,01-01-2023 07:48,43,Vancouver,CAN,Standalone,Coffee,Large Mocha,4.89,4,TRUE,Debit Card,c2rh2xk2,35-44,Female,TRUE,Sunny,2.8,New Year's Day,17.6
10026,01-01-2023 07:53,11,Chicago,USA,Standalone,Coffee,Large Cappuccino,4.37,4,FALSE,Cash,jd2v1l1v,25-34,Female,FALSE,Sunny,-4.7,New Year's Day,17.48
10027,01-01-2023 07:56,9,Los Angeles,USA,Mall Kiosk,Coffee,Medium Latte,3.8,3,FALSE,Credit Card,0m3loufh,45-54,Female,FALSE,Sunny,12.3,New Year's Day,11.4
10028,01-01-2023 08:00,19,London,UK,Standalone,Coffee,Medium Cappuccino,3.4,2,FALSE,Credit Card,wc0bogwh,35-44,Male,FALSE,Sunny,5.2,New Year's Day,6.8
10029,01-01-2023 08:01,24,Manchester,UK,Standalone,Coffee,Small Mocha,3.32,4,TRUE,Mobile Wallet,qpgb7r3o,18-24,Female,TRUE,,,New Year's Day,11.95
10030,01-01-2023 08:08,34,Melbourne,AUS,Mall Kiosk,Coffee,Large Mocha,5.45,1,FALSE,Cash,2xcb3yym,,Female,FALSE,Sunny,22.2,New Year's Day,5.45
10031,01-01-2023 08:08,15,Chicago,USA,Standalone,Coffee,Medium Mocha,4.27,1,FALSE,Cash,f8s2zge2,25-34,Female,FALSE,Sunny,-4.7,New Year's Day,4.27
10032,01-01-2023 08:17,4,New York,USA,Mall Kiosk,Coffee,Large Cappuccino,4.46,1,TRUE,Cash,tsujt70y,55-64,Female,TRUE,Sunny,-1.1,New Year's Day,4.01
10033,01-01-2023 08:21,31,Melbourne,AUS,Standalone,Tea,Medium Green Tea,3.02,1,TRUE,Debit Card,j4xybrxf,45-54,Female,TRUE,Sunny,22.2,New Year's Day,2.72
10034,01-01-2023 08:29,7,Los Angeles,USA,Standalone,Pastry,Croissant,2.45,1,FALSE,Cash,5vlwojtx,,Male,FALSE,Sunny,12.3,New Year's Day,2.45
10035,01-01-2023 08:34,17,London,UK,Standalone,Sandwich,Vegan Falafel Wrap,5.1,1,FALSE,Cash,vbjrbzjw,65+,Female,FALSE,Sunny,5.2,New Year's Day,5.1
10036,01-01-2023 08:37,26,Sydney,AUS,Mall Kiosk,Coffee,Single Espresso,3.09,1,FALSE,Credit Card,dx5o31yh,45-54,Female,FALSE,Cloudy,16.6,New Year's Day,3.09
10037,01-01-2023 08:50,5,New York,USA,Standalone,Sandwich,Ham & Cheese Croissant,5.5,2,FALSE,Credit Card,nkbtfshb,45-54,Male,FALSE,Sunny,-1.1,New Year's Day,11
10038,01-01-2023 08:58,25,Manchester,UK,Standalone,Tea,Small Earl Grey,2.05,1,FALSE,Mobile Wallet,jjy4mzvm,18-24,Male,FALSE,Sunny,8.7,New Year's Day,2.05
10039,01-01-2023 09:21,12,Chicago,USA,Airport,Tea,Large Earl Grey,3.8,1,FALSE,Debit Card,0imjyjcm,35-44,Female,TRUE,Sunny,-4.7,New Year's Day,3.8
10040,01-01-2023 09:23,5,New York,USA,Standalone,Coffee,Large Latte,4.6,1,FALSE,Credit Card,yjoaoejv,65+,Male,TRUE,Sunny,-1.1,New Year's Day,4.6
10041,01-01-2023 09:27,7,Los Angeles,USA,Standalone,Coffee,Medium Cappuccino,3.92,3,FALSE,Mobile Wallet,p1o8m291,18-24,Female,FALSE,Sunny,12.3,New Year's Day,11.76
10042,01-01-2023 09:37,38,Toronto,CAN,Standalone,Pastry,Scone,2.02,4,FALSE,Mobile Wallet,3dzxlrgn,25-34,Female,FALSE,Cloudy,-6.5,New Year's Day,8.08
10043,01-01-2023 09:50,43,Vancouver,CAN,Standalone,Coffee,Large Americano,3.24,2,FALSE,Credit Card,zg85s9as,25-34,,FALSE,Sunny,2.8,New Year's Day,6.48
10044,01-01-2023 09:52,8,Los Angeles,USA,Airport,Tea,Small Chai Latte,4.65,3,FALSE,Debit Card,uh17j8qo,45-54,Prefer not to say,FALSE,Sunny,12.3,New Year's Day,13.95
10045,01-01-2023 10:01,3,New York,USA,Mall Kiosk,Coffee,Medium Americano,2.91,1,FALSE,Credit Card,wpj8yi34,45-54,Female,FALSE,Sunny,-1.1,New Year's Day,2.91
10046,01-01-2023 10:03,33,Melbourne,AUS,Standalone,Merchandise,Coffee Mug,12.96,1,FALSE,Credit Card,z52ohkbm,45-54,Female,TRUE,Sunny,22.2,New Year's Day,12.96
10047,01-01-2023 10:06,30,Sydney,AUS,Standalone,Tea,Large Chai Latte,5.33,5,FALSE,Credit Card,nkk1jxpp,65+,Female,FALSE,Cloudy,16.6,New Year's Day,26.65
10048,01-01-2023 10:10,45,Vancouver,CAN,Standalone,Pastry,Scone,2.07,3,FALSE,Credit Card,kdts1fb2,35-44,Male,FALSE,Sunny,2.8,New Year's Day,6.21
10049,01-01-2023 10:20,22,Manchester,UK,Standalone,Tea,Large Earl Grey,2.62,2,FALSE,Cash,3bbt873l,25-34,Male,TRUE,Sunny,8.7,New Year's Day,5.24
10050,01-01-2023 10:25,33,Melbourne,AUS,Standalone,Pastry,Scone,2.38,4,TRUE,Mobile Wallet,4r9v4k00,25-34,Male,FALSE,Sunny,22.2,New Year's Day,7.62
10051,01-01-2023 10:28,25,Manchester,UK,Standalone,Coffee,Medium Cappuccino,3.28,1,FALSE,Debit Card,fco3s65q,35-44,Female,TRUE,Sunny,8.7,New Year's Day,3.28
10052,01-01-2023 10:34,9,Los Angeles,USA,Mall Kiosk,Tea,Large Green Tea,3.04,1,FALSE,Credit Card,ud99xro3,65+,,FALSE,Sunny,12.3,New Year's Day,3.04
10053,01-01-2023 10:41,35,Melbourne,AUS,Mall Kiosk,Coffee,Small Cappuccino,3.77,2,FALSE,Cash,y3rztplc,55-64,Male,FALSE,Sunny,22.2,New Year's Day,7.54
10054,01-01-2023 11:03,24,Manchester,UK,Standalone,Tea,Small Matcha Latte,3.32,2,FALSE,Mobile Wallet,4gc4ryg9,35-44,Male,FALSE,Sunny,8.7,New Year's Day,6.64
10055,01-01-2023 11:27,37,Toronto,CAN,Standalone,Coffee,Small Cappuccino,3.31,1,FALSE,Cash,67j2dg1w,25-34,Female,FALSE,Cloudy,-6.5,New Year's Day,3.31
10056,01-01-2023 11:28,19,London,UK,Standalone,Coffee,Large Mocha,4.42,1,FALSE,Credit Card,jl6l91f4,45-54,Female,TRUE,Sunny,5.2,New Year's Day,4.42
10057,01-01-2023 11:46,21,Manchester,UK,Standalone,Coffee,Double Espresso,2.38,2,FALSE,Credit Card,bvxketug,25-34,Male,FALSE,Sunny,8.7,New Year's Day,4.76
10058,01-01-2023 11:57,1,New York,USA,Standalone,Coffee,Medium Cappuccino,4,1,FALSE,Cash,zppep69n,25-34,Male,TRUE,Sunny,-1.1,New Year's Day,4
10059,01-01-2023 12:07,17,London,UK,Standalone,Sandwich,Vegan Falafel Wrap,5.1,2,FALSE,Credit Card,led1lg8y,55-64,Female,TRUE,Sunny,5.2,New Year's Day,10.2
10060,01-01-2023 12:10,41,Vancouver,CAN,Standalone,Coffee,Small Latte,3.38,5,FALSE,Credit Card,065afu20,35-44,Male,TRUE,Sunny,2.8,New Year's Day,16.9
10061,01-01-2023 12:11,8,Los Angeles,USA,Airport,Coffee,Medium Latte,4.9,1,FALSE,Mobile Wallet,4sx27dcb,25-34,,FALSE,Sunny,12.3,New Year's Day,4.9
10062,01-01-2023 12:13,39,Toronto,CAN,Mall Kiosk,Smoothie,Medium Berry Blast,4.91,3,FALSE,Mobile Wallet,wgt2lb25,55-64,Non-binary,FALSE,Cloudy,-6.5,New Year's Day,14.73
10063,01-01-2023 12:15,39,Toronto,CAN,Mall Kiosk,Pastry,Scone,1.96,1,FALSE,Mobile Wallet,337ov9wx,25-34,Female,FALSE,Cloudy,-6.5,New Year's Day,1.96
10064,01-01-2023 12:39,31,Melbourne,AUS,Standalone,Tea,Small Matcha Latte,4.37,3,FALSE,Credit Card,h9vgky5c,25-34,Male,TRUE,Sunny,22.2,New Year's Day,13.11
10065,01-01-2023 12:39,36,Toronto,CAN,Airport,Coffee,Small Latte,4.14,2,FALSE,Credit Card,21id9vvn,55-64,Female,FALSE,Cloudy,-6.5,New Year's Day,8.28
10066,01-01-2023 12:41,15,Chicago,USA,Standalone,Coffee,Medium Mocha,4.27,2,FALSE,Mobile Wallet,zni37zcg,18-24,Male,TRUE,Sunny,-4.7,New Year's Day,8.54
10067,01-01-2023 12:52,19,London,UK,Standalone,Coffee,Small Mocha,3.44,2,FALSE,Credit Card,d9er94te,45-54,Female,TRUE,Sunny,5.2,New Year's Day,6.88
10068,01-01-2023 13:01,19,London,UK,Standalone,Tea,Medium Chai Latte,3.57,4,FALSE,Credit Card,wwiif86l,35-44,Male,TRUE,Sunny,5.2,New Year's Day,14.28
